"No.","Time","Source","Destination","Protocol","Length","Info"
"17433","503.820920","Ubiquiti_3b:5c:ed","ee:35:1c:96:ce:c0","802.11","227","Probe Response, SN=2688, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17435","503.852235","Ubiquiti_3b:5c:ed","1a:2f:1f:f9:92:43","802.11","227","Probe Response, SN=2689, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17439","503.901108","Ubiquiti_3b:5c:ed","ee:35:1c:96:ce:c0","802.11","227","Probe Response, SN=2691, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17441","503.923367","Ubiquiti_3b:5c:ed","ee:35:1c:96:ce:c0","802.11","227","Probe Response, SN=2692, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17443","503.948562","Ubiquiti_3b:5c:ed","ee:35:1c:96:ce:c0","802.11","227","Probe Response, SN=2693, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17448","504.224438","Ubiquiti_3b:5c:ed","b6:e9:50:61:e1:ba","802.11","227","Probe Response, SN=2698, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17451","504.264938","Ubiquiti_3b:5c:ed","b6:e9:50:61:e1:ba","802.11","227","Probe Response, SN=2699, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17453","504.284809","Ubiquiti_3b:5c:ed","b6:e9:50:61:e1:ba","802.11","227","Probe Response, SN=2700, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17455","504.324109","Ubiquiti_3b:5c:ed","b6:e9:50:61:e1:ba","802.11","227","Probe Response, SN=2702, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17456","504.326171","Ubiquiti_3b:5c:ed","b6:e9:50:61:e1:ba","802.11","227","Probe Response, SN=2703, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17458","504.355528","Ubiquiti_3b:5c:ed","b6:e9:50:61:e1:ba","802.11","227","Probe Response, SN=2704, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17460","504.402384","Ubiquiti_3b:5c:ed","Apple_c0:9b:75","802.11","227","Probe Response, SN=2706, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17462","504.412131","Ubiquiti_3b:5c:ed","36:7e:0f:b7:08:20","802.11","227","Probe Response, SN=2707, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17463","504.418094","Ubiquiti_3b:5c:ed","3e:aa:80:0a:96:a1","802.11","227","Probe Response, SN=2708, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17465","504.428560","Ubiquiti_3b:5c:ed","Apple_c0:9b:75","802.11","227","Probe Response, SN=2709, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17468","504.444575","Ubiquiti_3b:5c:ed","Apple_c0:9b:75","802.11","227","Probe Response, SN=2710, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17471","504.460195","Ubiquiti_3b:5c:ed","36:7e:0f:b7:08:20","802.11","227","Probe Response, SN=2711, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17472","504.468543","Ubiquiti_3b:5c:ed","Apple_c0:9b:75","802.11","227","Probe Response, SN=2712, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17474","504.475676","Ubiquiti_3b:5c:ed","3e:aa:80:0a:96:a1","802.11","227","Probe Response, SN=2713, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17476","504.480077","Ubiquiti_3b:5c:ed","36:7e:0f:b7:08:20","802.11","227","Probe Response, SN=2714, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17477","504.489681","Ubiquiti_3b:5c:ed","Apple_c0:9b:75","802.11","227","Probe Response, SN=2715, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
